Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
4930,3388023,82746000,100,200
4931,2052687,49589300,0,300
4932,915512,22115500,0,300
4933,5489030,134528000,0,600
4934,1568997,37983100,0,400
4935,5934375,144016300,0,500
4936,167246,4026600,0,200
4937,1373448,33190800,0,300
4938,1334209,32384500,0,100
4939,927511,23239700,0,500
4940,5934282,149220900,0,500
4941,4721861,119982500,0,600
4942,9014859,224189100,0,700
4943,6340477,158682900,0,600
4944,4330486,105327000,0,300
4945,9240850,228253900,0,500
4946,5884110,142674700,0,800
4947,5759719,141666200,0,600
4948,8639753,221471000,0,200
4949,4418098,112255000,0,600
4950,5965784,152010200,0,600
4951,2476883,63207000,0,400
4952,4581440,116552600,0,500
4953,3388851,89454400,0,600
4954,4098225,103712800,0,400
4955,9661091,242736700,100,900
4956,9288956,237230000,0,400
4957,2209149,55099100,100,700
4958,2114760,52810700,0,400
4959,1879384,46507800,0,400
4960,5845393,145809200,0,600
4961,2765329,69406100,0,300
4962,4475430,115910300,0,700
4963,3694620,93506400,0,900
4964,6758894,174481300,0,400
4965,1049217,30471000,100,800
4966,2338298,63188500,0,600
4967,1733832,42633200,0,500
4968,7181615,180545200,0,900
4969,8266966,209812500,0,700
4970,4027084,100713700,0,600
4971,2046749,51893700,0,600
4972,8293506,217614900,0,900
4973,4586737,116541300,0,1000
4974,6613131,160919500,100,800
4975,1277742,33278400,100,800
4976,3677291,91591100,0,600
4977,7093643,187259000,0,800
4978,4638784,123609800,0,800
4979,4593010,122404100,100,400
4980,4624259,123199100,0,400
4981,8214320,216320100,0,800
4982,3403754,90523500,100,800
4983,1639778,43487000,0,700
4984,1100169,28402200,0,500
4985,8036671,205080300,0,500
4986,9451109,233252100,100,800
4987,6479181,164348300,100,800
4988,5112921,132795600,100,600
4989,1262693,34950700,0,500
4990,8876613,223544600,0,700
4991,9473749,232068700,0,900
4992,2075922,54929800,0,600
