Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
6041,8131421,137950700,1923700,2871600
6042,229595,3858700,30000,61900
6043,824656,13918400,123600,216000
6044,5937172,103240000,1396800,2093600
6045,2314604,39038300,471200,708800
6046,9435941,160327700,2334800,3333700
6047,4487503,75536800,1065000,1574100
6048,633210,11162700,119200,189100
6049,8423350,146812900,1998900,3095700
6050,8264338,140326000,1969600,3213400
6051,1856607,31239500,335700,522500
6052,3624047,61001100,854200,1244200
6053,4625690,80561700,1223600,1743000
6054,7820483,133157200,1854100,2755200
6055,7745441,134804300,1833500,2741200
6056,8772454,148895900,2229800,3078900
6057,2262971,38213100,465200,697700
6058,9194843,159648200,2190700,3246800
6059,2038223,34704800,397200,611100
6060,131557,2225900,17700,34400
6061,8684702,147982900,2029900,3069600
6062,1557716,26322100,286800,446600
6063,8663926,147503900,2034400,3103300
6064,2010353,34191500,439500,637800
6065,3427986,57773300,829300,1195100
6066,1901027,33376200,395200,561700
6067,7093059,124243800,1896500,2663500
6068,2340813,39386700,483000,710600
6069,4059151,68697200,962500,1408300
6070,7742852,132220000,1868600,2734000
6071,8106668,137771400,1933400,2926200
6072,3725652,62837600,948600,1316100
6073,5286380,89683000,1273400,1884300
6074,3068541,52168400,727500,1151400
6075,3457688,58282300,836100,1281200
6076,9159159,154443800,2178100,3378100
6077,460594,7985600,95800,132900
6078,826175,14598900,219000,263900
6079,1271356,21442300,212300,354600
6080,578404,9764900,96200,153000
6081,7378858,125109400,1877300,2692900
6082,4698743,79820000,1135300,1668800
6083,9458713,164556300,2265600,3689900
6084,5434496,92685400,1287600,1907100
6085,1719112,29008600,292000,477900
6086,627982,10700200,128100,179900
6087,472681,7937000,77300,130300
6088,987306,16622700,169400,257800
6089,1865777,31516900,375700,575100
6090,6220822,104737100,1480400,2191800
6091,3486158,60893700,831100,1317900
6092,1383870,23356400,261100,389900
6093,5625046,96109000,1354400,1981300
6094,4784069,82715800,1128500,1674600
6095,1365502,22986800,210100,375600
6096,2840633,48053000,756600,959800
6097,4495613,77647000,1082700,1652200
6098,5274752,90006500,1438100,1980000
6099,1438371,27328100,484600,693000
6100,6864573,116289300,1800800,2464100
6101,840240,14120000,230200,463000
6102,201114,3380900,32700,53900
6103,1187094,23653200,208500,415000
6104,7642122,130732400,1960800,2704200
6105,5234629,89483200,1236500,1878000
6106,3144763,53445300,723000,1070200
6107,5836039,98813600,1404100,2052200
6108,2709052,45643700,610000,910200
6109,3735255,62928500,891500,1299900
6110,7950055,138617000,2114900,2818200
6111,4967979,84837700,1175800,1741200
6112,2929417,56737600,723400,1110100
6113,5095787,86454100,1235700,1807200
6114,4816597,81844400,1158000,1700400
6115,3590754,62006900,809200,1243900
6116,8346552,147661200,2070400,3582900
6117,3535612,65181100,886200,1313800
6118,2466759,41453600,476400,818100
6119,5113942,86525100,1224000,1820300
6120,1579522,27550900,286800,443600
6121,7249220,122307000,1737900,2711300
6122,4035443,68493000,1174500,1434900
6123,9686793,164320400,2348500,3814800
6124,5596854,96495600,1317700,2001800
6125,2898258,49176400,688500,985700
6126,2612924,44120500,585100,857500
6127,4337522,74536700,1023100,1541100
6128,3219606,54233000,749000,1097000
6129,6153731,104874800,1467000,2173500
