Run,Size,Time_insert (nanoseconds)
4003,2782682,1443600
4004,4139306,2809300
4005,7113117,4068000
4006,2486404,1736600
4007,2041007,1011700
4008,7613302,4353000
4009,1919994,1331600
4010,6190723,3515300
4011,2889242,1465300
4012,2685642,1746500
4013,4683335,2657300
4014,4836826,3476500
4015,1055459,426100
4016,1828058,990300
4017,4740072,2823500
4018,6909313,4291100
4019,3554453,2267300
4020,8789998,5094600
4021,2176542,1164900
4022,5851500,3524700
4023,108733,20000
4024,6031301,3890900
4025,7505111,4582600
4026,4050436,2489400
4027,9459521,5293800
4028,5803137,3176800
4029,9227243,5826900
4030,436229,158300
4031,5351324,2915400
4032,2959817,1839400
4033,9059594,6794400
4034,75210,11800
4035,5384192,2798200
4036,2018918,825900
4037,6845854,4146800
4038,3227873,1622400
4039,5296580,3128900
4040,7379343,4504600
4041,148907,45400
4042,6296171,3534500
4043,2743268,1534800
4044,2821927,1520300
4045,6434002,7856600
4046,2002472,1591200
4047,310937,102500
4048,8024864,5236100
4049,708356,722300
4050,7351303,5128000
4051,2674833,1357300
4052,5043874,2859700
4053,3860214,2629400
4054,5820394,3572100
4055,3450272,1996000
4056,269827,83000
4057,5817368,3026400
4058,8459411,5601600
4059,4076781,1997000
4060,3144000,2731900
4061,6966611,3440600
4062,9675478,5696500
4063,1221236,980800
4064,5834617,3442400
4065,319362,93500
4066,85542,16500
4067,6287349,3639600
4068,689802,236000
4069,3672594,2313900
4070,3221047,1983700
4071,8683896,5056200
4072,5879922,5799900
4073,7445417,5252600
4074,7812386,4302900
4075,5978272,3880300
4076,9113016,5093500
4077,2566090,1570600
4078,1769600,680100
4079,2431370,1143800
4080,4503098,2837700
4081,1096841,517900
4082,7577312,4512700
4083,2290341,1271800
4084,8744331,5117400
4085,2197532,1081700
4086,5574469,3293700
4087,8704142,6857100
4088,1112853,710100
4089,8063931,5312200
4090,664564,236100
4091,408234,116800
4092,7228850,4522600
4093,751007,263300
4094,5941749,3258600
4095,7916771,4551200
4096,9295721,5563400
4097,8857388,5216300
4098,2578851,1398600
4099,5258201,3546500
4100,2421281,1384100
4101,6941914,7926700
4102,8085531,3940500
4103,2834509,1291700
4104,5369658,2557500
4105,7998318,4375400
4106,2405108,1386700
4107,725306,272200
4108,4479234,3601400
4109,1137513,554000
4110,4048187,2272800
4111,1434214,1559500
4112,9969622,5973400
4113,9588316,5605700
4114,1703994,1056800
4115,2168285,852100
4116,5177397,3119400
4117,221559,52500
4118,3182014,2839100
4119,7539013,4504400
4120,5107020,3581900
4121,8061264,5014900
4122,253882,75100
4123,2293649,1173800
4124,4047446,2596800
4125,8346887,4646400
4126,7270383,5622700
4127,4566053,2377900
4128,4079969,2090700
4129,5240432,2516500
4130,5828273,3363400
4131,4748401,2276100
4132,8094467,4756400
4133,7944815,4623200
4134,7472461,3787300
4135,6955182,3935800
4136,718700,370500
4137,26813,2700
4138,9934156,5969200
4139,232988,65800
4140,3413570,1631400
4141,1868314,856000
4142,8908415,4741600
4143,5884456,3791500
4144,7449300,4202000
4145,1697742,1093600
4146,7408204,4101500
4147,4063397,2053000
4148,5731089,3216000
4149,1061437,422900
4150,3841969,3188400
4151,9083602,5467600
4152,6873940,3956700
4153,3521188,2179700
4154,3342666,2032400
4155,8379447,4846300
4156,265065,72800
4157,987712,359600
4158,3327570,1676900
4159,258884,89500
4160,7923458,4559600
4161,4761279,2728200
4162,5247273,3931400
4163,5347450,3001600
4164,8715721,5054900
4165,283167,98900
4166,1610163,911600
4167,9973141,5950000
4168,4329249,2098800
4169,8562920,5113000
4170,7709845,5348100
4171,1516712,837600
4172,4925065,3030700
4173,2383832,1520600
4174,918400,382100
4175,5992668,3502400
4176,8121500,4683600
4177,2292889,1075800
4178,8589057,4575600
4179,2881252,1492200
4180,1425350,509700
4181,9601438,5602200
4182,8546342,4842300
4183,144225,34800
4184,1617710,588000
4185,7958678,5070900
4186,9952344,5545700
4187,2492493,1593500
4188,3178331,1816000
4189,1595679,686500
4190,8167838,4515200
4191,8992473,5224100
4192,5539807,2860000
