Run,Size,Time_insert (nanoseconds)
2818,8764612,82275100
2819,1771647,17243700
2820,9315673,84923700
2821,7957538,74558900
2822,5370941,50380000
2823,1516014,14189900
2824,6912155,65706900
2825,3157351,29520700
2826,2382206,22260100
2827,4440431,42657200
2828,290411,2751500
2829,1982362,20137000
2830,7064912,66021500
2831,6574013,62371100
2832,5607442,53209200
2833,674938,6231300
2834,4785256,44675100
2835,7611766,71024900
2836,9737926,90346800
2837,7910656,74124400
2838,1530803,14757100
2839,6404306,59918700
2840,2237338,20955000
2841,1244541,11651500
2842,8016220,75670000
2843,1104867,10261400
2844,3150560,29307700
2845,690032,6515100
2846,5357245,50412500
2847,1977205,19666700
2848,7746377,74909300
2849,6172809,55941900
2850,4087047,38319800
2851,190181,1746800
2852,5348801,50125600
2853,5406629,50444100
2854,1706812,17746200
2855,2459905,23000900
2856,7383768,69365900
2857,1395406,13009300
2858,8315232,77877600
2859,9330111,87940400
2860,3678638,34318500
2861,7766261,72753400
2862,3180182,29728800
2863,4407152,41283300
2864,4332745,41933300
2865,3441487,31925200
2866,1301372,12190800
2867,9955675,93788800
2868,8308531,77643400
2869,3451407,39257800
2870,5168028,49473700
2871,8156574,76516700
2872,182520,1679300
2873,6123225,58168600
2874,2594034,24108800
2875,3484942,32534600
2876,713453,8129900
2877,6865181,64414900
2878,5563611,51864800
2879,7522726,71892800
2880,8697422,82685200
2881,2387854,23555200
2882,6810405,63799600
2883,1458023,13713400
2884,3663429,34207900
2885,1377995,13843800
2886,884264,8252700
2887,1110436,10314000
2888,7537485,70477600
2889,7578248,73453600
2890,4519635,42858200
2891,3574182,32611200
2892,1085496,10007300
2893,9358813,91775600
2894,3511013,31270500
2895,4277750,40624300
2896,4693487,43798800
2897,6219662,59368500
2898,904838,8510200
2899,5145937,47594700
2900,9534749,92512200
2901,2527954,23527800
2902,7488617,70423900
2903,2783452,25940100
2904,1476701,14904900
2905,2010544,18788500
2906,3744326,35767100
2907,8301727,77967600
2908,3790930,37159200
2909,2499036,24634100
2910,3211386,30063600
2911,5563121,52379200
2912,9817050,93009700
2913,8147133,76282800
2914,5530743,51780500
2915,6344461,59380000
2916,7634069,71725600
2917,862553,8654600
2918,2271327,21650700
2919,6955784,64495600
2920,1272153,11645400
2921,9955782,97923000
2922,1403231,13027400
2923,11166,103300
2924,543304,5029700
2925,8538733,79796500
2926,5355465,49874700
2927,3126641,29284000
2928,1746808,15932300
2929,6217663,58338900
2930,9146935,88507500
2931,576298,5346300
2932,6603974,59886200
2933,6115946,55804200
2934,5600559,53232900
2935,2909339,27236400
2936,7316881,66913300
2937,3832738,35514100
2938,3225761,29762400
2939,7952813,77154400
2940,991466,9314800
2941,2463044,23215800
2942,856821,9412000
2943,3197096,30671500
2944,7558472,71055200
2945,7952277,78250200
2946,2736658,33340000
2947,8171569,76540200
2948,1953131,19734300
2949,844170,8696000
2950,9305557,120211600
2951,8844405,85741700
2952,4484921,42049700
2953,6060009,62628400
2954,6298783,58773500
2955,3024788,28682100
2956,9678583,93797300
2957,1963686,18662300
2958,4200878,39394400
2959,3067371,28681200
2960,3636235,33858800
2961,663540,6762700
2962,3881718,37495600
2963,330858,3441100
2964,5233243,49981200
2965,6870669,68212400
2966,8555392,81624300
2967,8822287,82458000
2968,6195555,58309700
2969,7751360,76417600
2970,9112593,81722800
2971,8714916,81466300
2972,1612472,14935900
2973,1328344,12423000
2974,1147162,12947100
2975,1922071,20089000
2976,4070061,37307100
2977,1988537,18676700
2978,9500137,85666400
2979,6093583,54759500
2980,2651861,24864100
2981,701635,6664800
2982,6940064,62214600
2983,9620897,87550300
2984,8083375,77627900
2985,3172766,29701400
2986,4681007,44141600
2987,8079221,76943600
2988,3286244,30958400
2989,7445303,75139800
2990,9423873,93381500
2991,3695219,34689900
2992,9900350,93762200
2993,1307680,12205700
2994,4908588,45993200
2995,3709295,35420100
2996,7795434,73273300
2997,4664615,43907500
2998,8934246,87216800
2999,67436,623200
3000,2611304,24505200
3001,8085639,76461200
3002,3531133,33197000
3003,3406087,31871800
3004,4435325,43945000
3005,68229,621100
3006,6047821,58005400
3007,5114766,48200300
3008,3554121,33805600
3009,5385517,50914700
3010,9132106,90165200
3011,278678,2585500
3012,685127,6405500
3013,463845,4387500
3014,8656639,82648600
3015,3780223,37376900
3016,1043227,10027600
3017,3986438,38400800
3018,5024099,48144400
3019,2271222,21585100
3020,3248047,30938600
3021,5049331,46223000
3022,281389,2637300
3023,7767693,75905400
3024,3606261,34211300
3025,4120883,37663800
3026,1264990,11588700
3027,328498,3088400
3028,2165076,19718000
3029,188924,1700100
3030,9796412,92315300
3031,2788873,26349200
3032,6695136,62863200
3033,1927290,17886300
3034,4095703,37231300
3035,1565293,14587000
3036,2943904,28016300
3037,8290936,79086700
3038,9844471,95370800
3039,9925239,93212300
3040,7121463,71919300
3041,8055862,76056200
3042,6182533,57838600
3043,5412676,51206300
3044,2517567,23519700
3045,7528329,72059500
3046,5669322,53753300
3047,6917679,65695900
3048,3857591,41811300
3049,754971,7675700
3050,8998187,90684600
3051,5342439,54956100
3052,5660269,56841900
3053,4621187,46732900
3054,6045114,54596900
3055,444291,3879800
3056,7416439,83726200
3057,7668214,70793000
3058,4856184,46646300
3059,245558,2320200
3060,8456156,79626100
3061,2747821,26624900
3062,8194499,77868100
3063,9603644,96290100
3064,8870044,89880200
3065,2573667,24590600
3066,8678507,79461300
3067,893050,8484800
3068,8094973,81682800
3069,8887299,84634000
3070,2846388,27214200
3071,2876899,26109200
3072,4175618,41068900
3073,864548,8003300
3074,3198479,29881800
3075,5906451,66055600
3076,5542410,56068900
3077,5555851,52869500
3078,5496743,52589300
3079,7954635,89147000
3080,3705914,34522800
3081,1888129,19690700
3082,5604617,54224200
3083,1118903,10497300
3084,9650935,91396000
3085,7886532,73516900
3086,252688,2302300
3087,5844517,57251900
3088,88951,811500
3089,4360078,45738700
3090,1348805,14536500
3091,1945207,18170900
3092,4778312,45425400
3093,9963382,97289800
3094,2652180,26674100
3095,1852476,18366500
3096,2586229,26253100
3097,3486044,51494000
3098,1576557,16628800
3099,7162179,74345600
3100,8961642,94333100
3101,3124013,30276500
3102,8286379,87676600
3103,3115574,30699400
3104,4513220,50365600
3105,993626,8901700
3106,3264315,29040700
3107,9249583,91142100
3108,83907,781900
3109,1378752,12391900
3110,2521799,24402800
3111,602984,5534100
3112,2156794,19925400
3113,8650936,90664200
3114,2717554,29452500
3115,4551070,46880100
3116,7917986,74643100
3117,6128314,61396500
3118,5700592,67121500
3119,1736930,17183500
3120,4366938,40901700
3121,9789698,91627900
3122,1635255,19826200
3123,9083482,108355400
3124,407274,3787700
3125,3665804,34011800
3126,4195167,38944300
3127,417810,3897000
3128,5210360,50705100
3129,5169062,51434700
3130,8526741,81555700
3131,4844901,43602400
3132,7291224,69326100
3133,520387,4811700
3134,8048339,76329200
3135,4022347,38398700
3136,5644706,54968100
3137,2576930,24052700
3138,1941376,18330500
3139,2903236,27162000
3140,8880046,87118200
3141,2462613,24148400
3142,6331244,58913200
3143,8404491,78710900
3144,8033275,82501400
3145,638467,6157300
3146,3677020,34826900
3147,8757376,83623200
3148,3088536,28988500
3149,5830036,54330100
3150,1606874,14828100
3151,5593104,52228300
3152,5055733,47340600
3153,8168191,76319200
3154,4568268,43137300
3155,3270101,30983100
3156,659486,6184800
3157,1616616,15090500
3158,6534407,76251200
3159,4899745,45670200
3160,801704,8032800
3161,7670067,70939400
3162,3208776,29931700
3163,5586030,51822200
3164,786832,7675300
3165,3003103,30028800
3166,3176672,30173200
3167,5239720,48798100
3168,4332220,41046100
3169,1822678,16913700
3170,1879094,17424700
3171,3853936,34556700
3172,4772937,44160800
3173,3379578,31514300
3174,686207,6653700
3175,3668087,34062500
3176,5413347,48148000
3177,7497527,68512600
3178,6406513,61021100
3179,1206455,11346500
3180,9934089,95045300
3181,6407530,60367300
3182,3676695,38923700
3183,2318990,30429700
3184,9521084,93705700
3185,6565849,59369900
3186,4335661,41941700
3187,6483882,61565100
3188,475214,4936200
3189,8951496,80892400
3190,3013538,28084800
3191,3792728,41034000
3192,5006905,54030400
3193,3668608,32601500
3194,7904620,83772000
3195,9811165,97395200
3196,2885178,32567300
3197,3292810,33540600
3198,4762845,44140000
3199,3120608,28927900
3200,7494929,72989700
3201,9054863,84098200
3202,471212,4519900
3203,5567792,51700500
3204,1735626,16603300
3205,89504,814300
3206,8373581,74686700
3207,1513500,16581200
3208,4192772,38807500
3209,6843463,64374900
3210,9982949,97839100
3211,6370337,65701300
3212,4703061,44824200
3213,2586645,24389200
3214,2159206,20993400
3215,661202,6831600
3216,2137284,19777400
3217,3580091,33280100
3218,3524422,35204300
3219,4123899,37981100
3220,4786039,52932000
3221,5893064,54807500
3222,12983,117800
3223,4941921,45216800
3224,7417973,68673200
3225,5677245,56114600
3226,5193499,48251700
3227,81243,712600
3228,2504319,22296900
3229,578360,5069300
3230,293629,2571200
